Message Type,Repeat Indicator,MMSI,Navigation Status,Rate of Turn,Speed Over Ground,Position Accuracy,Longitude,Latitude,Course Over Ground,True Heading,Time Stamp,Manoeuver Indicator,Spare,RAIM Flag,Radio Status
1,0,227006760,0,-731.386484054556,0,0,0.13138,49.47557666666667,367,511,14,0,0,0,22136
1,0,205448890,0,-731.386484054556,0,1,4.419441666666667,51.237658333333336,633,511,15,0,0,1,2248
1,0,786434,0,-731.386484054556,16,1,5.320033333333333,51.967036666666665,1120,511,15,1,0,0,153208
1,0,249191000,0,-731.386484054556,0,1,23.603633333333335,37.95588333333333,2470,511,12,0,2,0,22136
1,0,316013198,0,-731.386484054556,0,1,-93.37997666666666,54.32111,2379,511,16,0,0,1,81935
1,0,366913120,0,731.386484054556,0,0,-159.07555166666666,18.321188333333332,3295,299,16,0,0,1,98890
1,0,367156850,0,-731.386484054556,1,0,-133.51777833333333,38.65875,1750,511,15,0,0,0,2238
1,0,205507490,0,-731.386484054556,0,1,4.34772,51.879885,2481,511,16,1,0,1,22136
3,0,366950460,0,731.386484054556,70,0,-141.09271,27.73612333333333,1933,193,17,0,0,0,0
1,0,205035000,0,-731.386484054556,0,1,2.9328833333333333,51.23759,0,511,15,0,0,1,33358
18,0,412420249,0,0.04464028833340796,206,0,-208.560985,99.69582333333334,111,504,35,1,0,1,25166210
